date,side,entry,sl,tp,exit_price,result,pnl_r,pnl_usd,balance
2025-03-17 22:30,SHORT,2.3395569999999997,2.36114,2.2963909999999994,2.2963909999999994,WIN,1.95,894.9016674810398911629843686,46787.29487163693174567500327
2025-03-18 10:45,SHORT,2.2771604,2.29924,2.2330012,2.2330012,WIN,1.95,912.3522499969201690406625638,47699.64712163385191471566583
2025-03-18 17:30,SHORT,2.2721126000000003,2.30294,2.210457800000001,2.30294,LOSS,-1.05,-500.8462947771554451045144912,47198.80082685669646961115134
2025-03-19 04:15,SHORT,2.2899757999999997,2.30644,2.2570473999999994,2.30644,LOSS,-1.05,-495.5874086819953129309170891,46703.21341817470115668023425
2025-03-19 21:15,LONG,2.485119,2.45284,2.549677,2.549677,WIN,1.95,910.7126616544066725552645679,47613.92607982910782923549882
2025-03-19 23:45,LONG,2.485119,2.45284,2.549677,2.45284,LOSS,-1.05,-499.9462238382056322069727376,47113.97985599090219702852608
2025-03-20 09:45,LONG,2.4940578,2.45284,2.5764934000000004,2.45284,LOSS,-1.05,-494.6967884879044730687995238,46619.28306750299772395972656
2025-03-21 09:45,SHORT,2.4136624,2.43345,2.3740872000000004,2.3740872000000004,WIN,1.95,909.0760198163084556172146679,47528.35908731930617957694123
2025-03-21 12:45,SHORT,2.399814,2.41815,2.3631420000000007,2.41815,LOSS,-1.05,-499.0477704168527148855578829,47029.31131690245346469138335
2025-03-22 02:45,SHORT,2.3975532,2.41375,2.3651596,2.41375,LOSS,-1.05,-493.8077688274757613792595252,46535.50354807497770331212382
2025-03-22 17:45,SHORT,2.3833608,2.39505,2.3599824000000007,2.3599824000000007,WIN,1.95,907.4423191874620652145864145,47442.94586726243976852671023
2025-03-22 23:45,SHORT,2.3779238,2.39095,2.3518714,2.39095,LOSS,-1.05,-498.1509316062556175695304574,46944.79493565618415095717977
2025-03-23 11:00,SHORT,2.3847818,2.39055,2.373245399999999,2.39055,LOSS,-1.05,-492.9203468243899335850503876,46451.87458883179421737212938
2025-03-23 16:15,LONG,2.4028572,2.39155,2.4254716000000003,2.39155,LOSS,-1.05,-487.7446831827338392824073585,45964.12990564906037808972202
2025-03-24 02:45,LONG,2.4128046,2.38595,2.4665138,2.4665138,WIN,1.95,896.3005331601566773727495794,46860.43043880921705546247160
2025-03-24 11:00,LONG,2.4474392,2.43575,2.4708175999999993,2.4708175999999993,WIN,1.95,913.7783935567797325815181962,47774.20883236599678804398980
2025-03-24 16:15,LONG,2.4509536,2.43575,2.4813608,2.43575,LOSS,-1.05,-501.6291927398429662744618929,47272.57963962615382176952791
2025-03-25 01:15,LONG,2.4560448,2.44405,2.4800344,2.44405,LOSS,-1.05,-496.3620862160746151285800431,46776.21755341007920664094787
2025-03-25 09:00,SHORT,2.4250605999999997,2.43335,2.4084817999999992,2.43335,LOSS,-1.05,-491.1502843108058316697299526,46285.06726909927337497121792
2025-03-25 18:00,LONG,2.435828,2.42475,2.4579839999999997,2.4579839999999997,WIN,1.95,902.5588117474358308119387494,47187.62608084670920578315667
2025-03-26 06:30,LONG,2.4493366,2.43165,2.4847098000000005,2.43165,LOSS,-1.05,-495.4700738488904466607231450,46692.15600699781875912243352
2025-03-26 23:45,SHORT,2.3651018,2.38615,2.3230054,2.38615,LOSS,-1.05,-490.2676380734770969707855520,46201.88836892434166215164797
